restaurant_name,food_id,food_name,food_name_cn,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,added_sugars_g,protein_dv,total_carbs_dv,total_fat_dv,saturated_fat_dv,trans_fat_dv,cholesterol_dv,sodium_dv,dietary_fiber_dv,total_sugars_dv,added_sugars_dv,vitamin_d_mcg,vitamin_d_dv,calcium_mg,calcium_dv,iron_mg,iron_dv,potassium_mg,potassium_dv,description,allergens,ingredient_count,ingredients_full,allergens_full,product_url,local_image_path,scraped_date,
Jersey Mike's,12-mini-extra-meat,#12 - Mini Extra Meat,,40,6,2,0,100,0.5,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,13-mini-extra-meat,#13 - Mini Extra Meat,,70,8,4,1,560,1.5,0.1,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,2-mini-extra-cheese,#2 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,3-mini-extra-cheese,#3 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,4-mini-extra-cheese,#4 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,5-mini-extra-cheese,#5 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,6-mini-extra-cheese,#6 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,7-mini-extra-cheese,#7 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,8-mini-extra-cheese,#8 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,9-mini-extra-cheese,#9 - Mini Extra Cheese,,60,4,4.5,1,65,3,0.1,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,11-mini-extra-cheese,#11 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,12-mini-extra-cheese,#12 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,13-mini-extra-cheese,#13 - Mini Extra Cheese,,80,6,6,0,110,4,0.2,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,14-mini-extra-cheese,#14 - Mini Extra Cheese,,210,15,16,2,260,10,0.5,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,add-pepperoni,Add Pepperoni,,90,4,8,1,340,3,0.1,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,add-bacon,Add Bacon,,70,5,6,0,200,2,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,add-extra-portabello,Add/Extra Portabello,,10,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,1-regular-extra-bacon,#1 - Regular Extra Bacon,,100,7,8,0,300,3,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,2-regular-extra-meat,#2 - Regular Extra Meat,,45,8,1,1,570,0.4,0,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,3-regular-extra-meat,#3 - Regular Extra Meat,,40,8,1,0,590,0.4,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,4-regular-extra-meat,#4 - Regular Extra Meat,,40,7,1,1,450,0.4,0,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,5-regular-extra-meat,#5 - Regular Extra Meat,,70,12,2,1,850,0.5,0,35,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,6-regular-extra-meat,#6 - Regular Extra Meat,,80,14,2.5,0,170,1,0.1,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
