name,code,category,url,image_url,image_path,price,serving_size,ingredients,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian
Meal for 4,23220,Groups,https://www.tacobell.com/food/party-packs/meal-for-4,https://www.tacobell.com/images/23220_variety_cravings_meal_269x269.jpg,images/Meal_for_4.jpg,$20.83,,,180-530,,,,,,,,,,,False
Veggie Meal for 2,23219,Groups,https://www.tacobell.com/food/party-packs/veggie-meal-for-2,https://www.tacobell.com/images/23219_veggie_meal_for_2_269x269.jpg,images/Veggie_Meal_for_2.jpg,$12.50,,,220-470,,,,,,,,,,,True
Taco & Burrito Cravings Pack,60528,Groups,https://www.tacobell.com/food/party-packs/cravings-pack,https://www.tacobell.com/images/60528_taco_and_burrito_pack_269x269.jpg,images/Taco__Burrito_Cravings_Pack.jpg,$20.99,,,170-490,,,,,,,,,,,False
Taco Party Pack,22189,Groups,https://www.tacobell.com/food/party-packs/taco-party-pack,https://www.tacobell.com/images/22189_taco_12_pack_269x269.jpg,images/Taco_Party_Pack.jpg,$21.99,,,170,,,,,,,,,,,False
Supreme Taco Party Pack,21200,Groups,https://www.tacobell.com/food/party-packs/supreme-taco-party-pack,https://www.tacobell.com/images/21200_supreme_taco_party_pack_269x269.jpg,images/Supreme_Taco_Party_Pack.jpg,$28.99,,,190,,,,,,,,,,,False
Soft Taco Party Pack,22187,Groups,https://www.tacobell.com/food/party-packs/soft-taco-party-pack,https://www.tacobell.com/images/22187_soft_taco_party_pack_269x269.jpg,images/Soft_Taco_Party_Pack.jpg,$21.99,,,180,6.0,3.5,0.0,35,520,19,2,2,<1,12,False
Supreme Soft Taco Party Pack,21201,Groups,https://www.tacobell.com/food/party-packs/supreme-soft-taco-party-pack,https://www.tacobell.com/images/21201_soft_taco_supreme_party_pack_269x269.jpg,images/Supreme_Soft_Taco_Party_Pack.jpg,$28.99,,,200,9.0,5.0,0.0,25,520,21,3,2,<1,9,False
Variety Taco Party Pack,26054,Groups,https://www.tacobell.com/food/party-packs/variety-taco-party-pack,https://www.tacobell.com/images/22119_variety_taco_12_pack_269x269.jpg,images/Variety_Taco_Party_Pack.jpg,$24.99,,,170,,,,,,,,,,,False
Supreme Variety Taco Party Pack,26055,Groups,https://www.tacobell.com/food/party-packs/supreme-variety-party-pack,https://www.tacobell.com/images/21202_supreme_variety_pack_269x269.jpg,images/Supreme_Variety_Taco_Party_Pack.jpg,$30.99,,,190,,,,,,,,,,,False
Drinks Party Pack,21210,Groups,https://www.tacobell.com/food/deals-and-combos/drinks-party-pack,https://www.tacobell.com/images/21210_drink_party_pack_269x269.jpg,images/Drinks_Party_Pack.jpg,$4.00,,,0-1120,,,,,,,,,,,False
Beefy Potato Loaded Griller,25501,Specialties,https://www.tacobell.com/food/specialties/beefy-potato-loaded-griller,https://www.tacobell.com/images/25501_beef_potato_loaded_griller_269x269.jpg,images/Beefy_Potato_Loaded_Griller.jpg,$2.79,,,490,23.0,6.0,0.0,25,"1,120",56,5,3,2,12,False
Mini Taco Salad,25502,Specialties,https://www.tacobell.com/food/specialties/mini-taco-salad,https://www.tacobell.com/images/25502_mini_taco_salad_269x269.jpg,images/Mini_Taco_Salad.jpg,$2.49,,,280,15.0,4.0,0.0,20,490,27,6,2,0,9,False
Avocado Ranch Chicken Stacker,25500,Specialties,https://www.tacobell.com/food/specialties/avocado-ranch-chicken-stacker,https://www.tacobell.com/images/25500_chipotle_ranch_chicken_stacker_269x269.jpg,images/Avocado_Ranch_Chicken_Stacker.jpg,$2.99,,,430,,,,,,,,,,,False
10 Piece Crispy Chicken Nuggets,29405,Specialties,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29405_10pc_crispy_chicken_nuggets_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets.jpg,$7.99,,,620,26.0,3.0,0.0,105,"2,110",49,5,0,0,51,False
5 Piece Crispy Chicken Nuggets,29404,Specialties,https://www.tacobell.com/food/deals-and-combos/5-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29404_5pc_crispy_chicken_nuggets_269x269.jpg,images/5_Piece_Crispy_Chicken_Nuggets.jpg,$4.99,,,310,13.0,1.5,0.0,55,"1,050",25,3,0,0,25,False
Steak Garlic Nacho Fries,23891,Specialties,https://www.tacobell.com/food/specialties/steak-garlic-nacho-fries,https://www.tacobell.com/images/23891_steak_garlic_nacho_fries_269x269.jpg,images/Steak_Garlic_Nacho_Fries.jpg,$5.49,,,490,29.0,2.5,0.0,0,"1,090",52,5,1,0,6,False
Volcano Quesarito,26086,Specialties,https://www.tacobell.com/food/specialties/volcano-quesarito,https://www.tacobell.com/images/26086_volcano_quesarito_269x269.jpg,images/Volcano_Quesarito.jpg,$5.49,,,640,,,,,,,,,,,False
